AS: 2, node_degree: 2, IP_prefix: 177.86.202.0/23
AS: 3, node_degree: 4, IP_prefix: 202.56.169.0/24
AS: 5, node_degree: 5, IP_prefix: 208.90.232.0/22
AS: 10, node_degree: 1, IP_prefix: 216.215.60.0/22
AS: 12, node_degree: 1, IP_prefix: 216.165.126.0/23
AS: 13, node_degree: 1, IP_prefix: 204.235.64.0/20
AS: 24, node_degree: 5, IP_prefix: 198.10.21.40/30
AS: 32, node_degree: 2, IP_prefix: 171.64.0.0/14
AS: 34, node_degree: 2, IP_prefix: 128.175.0.0/16
AS: 35, node_degree: 1, IP_prefix: 192.190.246.0/24
AS: 42, node_degree: 824, IP_prefix: 208.67.88.0/22
AS: 47, node_degree: 1, IP_prefix: 204.57.0.0/21
AS: 55, node_degree: 1, IP_prefix: 192.84.2.0/24
AS: 57, node_degree: 23, IP_prefix: 192.42.152.0/24
AS: 59, node_degree: 3, IP_prefix: 198.133.225.0/24
AS: 62, node_degree: 54, IP_prefix: 216.223.189.0/24
AS: 64, node_degree: 1, IP_prefix: None/None
AS: 70, node_degree: 1, IP_prefix: 130.14.254.0/24
AS: 71, node_degree: 7, IP_prefix: 208.196.166.0/24
AS: 72, node_degree: 1, IP_prefix: 204.17.162.0/24
AS: 77, node_degree: 12, IP_prefix: 204.9.128.0/21
AS: 81, node_degree: 28, IP_prefix: 206.107.110.0/24
AS: 88, node_degree: 1, IP_prefix: 205.172.164.0/22
AS: 101, node_degree: 86, IP_prefix: 209.124.184.0/21
AS: 103, node_degree: 1, IP_prefix: 199.249.169.0/24
AS: 112, node_degree: 47, IP_prefix: 192.175.48.0/24
AS: 132, node_degree: 1, IP_prefix: 207.133.168.0/24
AS: 137, node_degree: 38, IP_prefix: 212.189.128.0/17
AS: 149, node_degree: 1, IP_prefix: 215.67.160.0/19
AS: 154, node_degree: 1, IP_prefix: 155.85.46.0/24
AS: 160, node_degree: 2, IP_prefix: 205.208.0.0/17
AS: 166, node_degree: 1, IP_prefix: 198.133.241.0/24
AS: 173, node_degree: 5, IP_prefix: 192.47.168.0/23
AS: 174, node_degree: 5366, IP_prefix: 217.168.96.0/20
AS: 194, node_degree: 17, IP_prefix: 192.52.106.0/24
AS: 195, node_degree: 7, IP_prefix: 205.154.251.0/24
AS: 206, node_degree: 3, IP_prefix: 192.48.64.0/23
AS: 209, node_degree: 1892, IP_prefix: 216.231.160.0/19
AS: 210, node_degree: 5, IP_prefix: 205.120.0.0/13
AS: 224, node_degree: 31, IP_prefix: 193.156.0.0/15
AS: 226, node_degree: 62, IP_prefix: 207.231.246.0/24
AS: 237, node_degree: 41, IP_prefix: 208.68.24.0/22
AS: 250, node_degree: 4, IP_prefix: 195.245.114.0/23
AS: 260, node_degree: 517, IP_prefix: 193.223.100.0/24
AS: 270, node_degree: 11, IP_prefix: 198.182.30.0/23
AS: 271, node_degree: 17, IP_prefix: 209.87.28.0/23
AS: 276, node_degree: 17, IP_prefix: 206.76.13.0/24
AS: 278, node_degree: 2, IP_prefix: 192.100.200.0/24
AS: 286, node_degree: 730, IP_prefix: 212.189.0.0/17
AS: 293, node_degree: 142, IP_prefix: 134.55.0.0/16
AS: 297, node_degree: 14, IP_prefix: 198.120.0.0/14
AS: 302, node_degree: 8, IP_prefix: 198.147.152.0/24
AS: 306, node_degree: 51, IP_prefix: 144.104.151.0/24
